Train:3.7489238776 | Val:14.5594568888
Train:3.4875382518 | Val:13.8676790873
Train:3.8316780031 | Val:23.4938097636
Train:2.7720274136 | Val:14.5908779144
Train:2.7884132871 | Val:14.411289978
Train:2.7554442081 | Val:15.8112082799
Train:3.6307695613 | Val:15.7457992872
Train:2.6237882884 | Val:14.1489706357
Train:2.1038487295 | Val:13.561477534
Train:2.2719189358 | Val:14.2590139389
Train:3.1253759949 | Val:20.0867446264
Train:6.1714073455 | Val:15.6846536001
Train:4.4801432683 | Val:15.6994711558
Train:4.4219965198 | Val:29.5057276408
Train:4.8953696419 | Val:12.9744570732
Train:8.91160232 | Val:23.7131715139
Train:7.1063343532 | Val:15.0234477997
Train:5.6884907694 | Val:15.6337379773
Train:5.7676673917 | Val:16.3013905207
Train:3.8650677958 | Val:14.0813259125
Train:2.3445014621 | Val:17.7647280375
Train:2.2795439678 | Val:16.4641049385
Train:2.1347622512 | Val:13.8344203313
Train:1.6806532009 | Val:15.4132513046
Train:1.7978928225 | Val:14.6029990196
Train:1.8068427742 | Val:23.6766506831
Train:3.3637632771 | Val:15.7730984052
Train:2.4054159785 | Val:16.5775402069
Train:1.6383003702 | Val:19.2010195096
Train:2.1664735675 | Val:16.1270772298
Train:2.2841787461 | Val:16.7594340007
Train:2.0729041621 | Val:16.3175349553
Train:3.0259306286 | Val:14.9705516815
Train:2.3240718675 | Val:18.8462327957
Train:2.299017872 | Val:13.8877526919
Train:2.0822129802 | Val:16.0714144707
Train:2.2130892382 | Val:20.9264146169
Train:2.036704663 | Val:19.9365808487
Train:1.7075995829 | Val:17.6913545609
Train:1.6125694969 | Val:13.313868777
Train:1.8639047865 | Val:14.4692920685
Train:1.8721871166 | Val:13.5392501831
Train:2.2687289329 | Val:14.9995340347
Train:1.5231431306 | Val:13.7017305056
Train:1.7565057677 | Val:13.4543433507
Train:2.6299604204 | Val:16.7336257299
Train:2.5125620637 | Val:14.5146800041
Train:1.9154262385 | Val:14.8018776576
Train:1.9512390731 | Val:14.2018906911
Train:2.6874314818 | Val:22.0646966934
Train:4.8805333981 | Val:19.1742656708
Train:3.7611434504 | Val:17.1693586349
Train:3.3634633343 | Val:14.3452640533
Train:3.0196020375 | Val:13.7063825607
Train:2.1566982677 | Val:14.3390620232
Train:2.0954642831 | Val:12.2705471992
Train:2.5780454155 | Val:14.8135641734
Train:2.807423766 | Val:13.2973520597
Train:1.9572787408 | Val:15.5903332392
Train:2.1043437027 | Val:14.4991696676
Train:1.9742526026 | Val:14.8205077489
Train:2.6827066269 | Val:13.7736316363
Train:1.7571906995 | Val:14.3445215543
Train:2.1587481757 | Val:13.7134425799
Train:2.7449544791 | Val:18.7787342072
Train:2.0574769119 | Val:14.025614198
Train:2.0464074577 | Val:14.7584113439
Train:3.9453244271 | Val:13.0094838778
Train:2.096009939 | Val:17.0729937236
Train:1.7855539791 | Val:14.2595431964
Train:1.5271747647 | Val:14.9361368179
Train:1.7068345398 | Val:14.729647541
Train:1.94678819 | Val:13.3383144379
Train:1.9051387398 | Val:14.1637154261
Train:1.6575431999 | Val:16.0855843544
Train:2.0638679555 | Val:13.9983133952
Train:3.8897290992 | Val:14.2210630735
Train:3.1891618669 | Val:17.5555403392
Train:1.958216541 | Val:19.5137699127
Train:1.545993545 | Val:15.6361316363
Train:2.1232756731 | Val:15.3523575147
Train:1.9375115817 | Val:17.0731978734
Train:1.7183788086 | Val:14.4123975436
Train:3.1412612962 | Val:17.0422794024
Train:2.9040030346 | Val:26.0478758494
Train:2.5609337039 | Val:19.0106970469
Train:1.7683782849 | Val:14.5294397354
Train:2.0035351375 | Val:13.4959750811
Train:2.8932731862 | Val:27.2254665375
Train:1.5640878625 | Val:14.8508609136
Train:1.2616832055 | Val:14.7172234853
Train:1.4975891714 | Val:14.4195445697
Train:1.3460357439 | Val:15.0345696131
Train:1.0643011235 | Val:14.9701623917
Train:1.0753267692 | Val:15.6604159037
Train:1.2177250412 | Val:15.8066391945
Train:1.4257111067 | Val:13.9251772245
Train:1.6698735575 | Val:14.1791349411
Train:1.5445820943 | Val:14.5388230642
Train:1.5317285753 | Val:14.1476973852
Train:1.3479859448 | Val:16.8259566625
Train:1.4697002085 | Val:12.5234260559
Train:1.1251955396 | Val:12.9909826914
Train:1.6616638592 | Val:13.8425244013
Train:1.9615143467 | Val:13.4751338005
Train:1.3028833577 | Val:14.8598856608
Train:1.9517524571 | Val:13.8372064908
Train:1.8963479877 | Val:13.3138377825
Train:2.7587752044 | Val:13.4377830505
Train:2.1622793118 | Val:13.0716925303
Train:1.9163756169 | Val:13.0297035535
Train:2.0126354861 | Val:15.6873873075
Train:1.5256006516 | Val:15.2973596255
